alegeri,diaspora,Judet,timestamp,Votantilista,Votantipelistapermanenta,Votantipelistacomplementara,inscrisi_L_permanente,inscrisi_L_complementare,LP,LS,LSC,UM,LT,M_1824,M_2534,M_3544,M_4564,M_65+,F_1824,F_2534,F_3544,F_4564,F_65+
2024-prez-1,0,AB,2024-11-22 16:00,,,,302724,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,AG,2024-11-22 16:00,,,,509751,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,AR,2024-11-22 16:00,,,,379795,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,B,2024-11-22 16:00,,,,1784153,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,BC,2024-11-22 16:00,,,,588350,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,BH,2024-11-22 16:00,,,,497044,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,BN,2024-11-22 16:00,,,,260226,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,BR,2024-11-22 16:00,,,,270592,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,BT,2024-11-22 16:00,,,,375747,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,BV,2024-11-22 16:00,,,,523436,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,BZ,2024-11-22 16:00,,,,364283,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,CJ,2024-11-22 16:00,,,,615924,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,CL,2024-11-22 16:00,,,,238758,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,CS,2024-11-22 16:00,,,,253067,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,CT,2024-11-22 16:00,,,,612895,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,CV,2024-11-22 16:00,,,,179062,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,DB,2024-11-22 16:00,,,,415712,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,DJ,2024-11-22 16:00,,,,550660,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,GJ,2024-11-22 16:00,,,,287537,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,GL,2024-11-22 16:00,,,,521886,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
