alegeri,diaspora,timestamp,Votantilista,Votantipelistapermanenta,Votantipelistacomplementara,inscrisi_L_permanente,inscrisi_L_complementare,LP,LS,LSC,UM,LT,M_1824,M_2534,M_3544,M_4564,M_65+,F_1824,F_2534,F_3544,F_4564,F_65+
2024-prez-1,1,2024-11-22 13:00,,,,0,,0,2137,4227,0,6364,239,638,1021,1018,268,238,665,978,1043,256
2024-prez-1,0,2024-11-22 14:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-22 14:00,,,,0,,0,8918,4227,0,13145,584,1232,1979,2200,516,610,1232,1901,2404,487
2024-prez-1,0,2024-11-22 15:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-22 15:00,,,,0,,0,13461,4227,0,17688,799,1697,2655,2972,697,866,1672,2455,3206,669
2024-prez-1,0,2024-11-22 16:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-22 16:00,,,,0,,0,16976,4227,0,21203,978,2089,3133,3537,821,1095,2033,2838,3828,851
2024-prez-1,0,2024-11-22 17:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-22 17:00,,,,0,,0,20325,4227,0,24552,1176,2471,3608,4154,927,1326,2336,3200,4389,965
2024-prez-1,0,2024-11-22 18:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-22 18:00,,,,0,,0,24125,4227,0,28352,1384,2880,4157,4826,1025,1589,2694,3683,5032,1082
2024-prez-1,0,2024-11-22 19:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-22 19:00,,,,0,,0,28132,4227,0,32359,1581,3378,4742,5543,1109,1839,3151,4190,5661,1165
2024-prez-1,0,2024-11-22 20:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-22 20:00,,,,0,,0,32714,4227,0,36941,1867,3940,5502,6318,1191,2118,3657,4774,6314,1260
2024-prez-1,0,2024-11-22 21:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-22 21:00,,,,0,,0,36689,4227,0,40916,2121,4501,6146,6943,1252,2374,4180,5255,6802,1342
2024-prez-1,0,2024-11-22 22:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-22 22:00,,,,0,,0,39477,4227,0,43704,2308,4951,6640,7323,1298,2561,4526,5593,7111,1393
2024-prez-1,0,2024-11-23 00:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-23 00:00,,,,0,,0,40516,4227,0,44743,2371,5141,6806,7461,1333,2604,4682,5705,7218,1422
2024-prez-1,0,2024-11-23 01:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-23 01:00,,,,0,,0,40686,4227,0,44913,2375,5151,6818,7504,1356,2607,4690,5717,7252,1443
2024-prez-1,0,2024-11-23 02:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-23 02:00,,,,0,,0,40882,4227,0,45109,2381,5172,6837,7546,1367,2614,4706,5734,7289,1463
2024-prez-1,0,2024-11-23 03:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-23 03:00,,,,0,,0,41055,4227,0,45282,2391,5184,6851,7590,1380,2620,4718,5749,7322,1477
2024-prez-1,0,2024-11-23 04:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-23 04:00,,,,0,,0,41226,4227,0,45453,2397,5196,6864,7635,1394,2623,4728,5768,7362,1486
2024-prez-1,0,2024-11-23 05:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-23 05:00,,,,0,,0,41326,4227,0,45553,2399,5201,6876,7657,1398,2630,4738,5780,7379,1495
2024-prez-1,0,2024-11-23 15:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-23 15:00,,,,0,,0,104089,4227,0,108316,4717,11808,16816,22302,4086,4850,9842,12206,17512,4177
2024-prez-1,0,2024-11-23 16:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-23 16:00,,,,0,,0,120899,4227,0,125126,5558,13909,19490,25567,4455,5662,11499,14122,20195,4669
2024-prez-1,0,2024-11-23 17:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-23 17:00,,,,0,,0,138694,4227,0,142921,6425,16189,22343,29021,4834,6605,13332,16191,22857,5124
2024-prez-1,0,2024-11-23 18:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
